,Node,VRF,Local_AS,Local_IP,Local_Interface,Confederation,Remote_AS,Remote_IP,Description,Route_Reflector_Client,Cluster_ID,Peer_Group,Import_Policy,Export_Policy,Send_Community,Is_Passive
0,edge2,default,65000,10.0.200.1,,,65000,10.0.100.1,,False,,,[],[],False,False
1,edge1,default,65000,10.0.100.1,,,65000,10.0.200.1,,False,,,[],[],False,False
