,Node,VRF,Local_AS,Local_Interface,Local_IP,Remote_AS,Remote_Node,Remote_Interface,Remote_IP,Address_Families,Session_Type,Established_Status
0,edge1,default,65000,,10.0.100.1,65000,edge2,,10.0.200.1,['IPV4_UNICAST'],IBGP,ESTABLISHED
1,edge2,default,65000,,10.0.200.1,65000,edge1,,10.0.100.1,['IPV4_UNICAST'],IBGP,ESTABLISHED
