,Structure_Type,Structure_Name,Source_Lines
0,extended ipv4 access-list,DENY_ICMP_HTTP,"configs/edge1:[48, 49, 50]"
1,ipv4 prefix-list,PREF_LIST_1,"configs/edge2:[50, 51, 52, 53]"
