,Interface,VRF,Process_ID,OSPF_Area_Name,OSPF_Enabled,OSPF_Passive,OSPF_Cost,OSPF_Network_Type,OSPF_Hello_Interval,OSPF_Dead_Interval
0,core1[Ethernet2],default,1,0,True,False,1,BROADCAST,10,40
1,core1[Ethernet1],default,1,0,True,False,1,BROADCAST,10,40
